dataset_id,name,modality,task,label_granularity,license,access_friction,url,notes
tcia:ACRIN-FLT-Breast,ACRIN-FLT-Breast,mixed_or_unknown,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:ACRIN-NSCLC-FDG-PET,ACRIN-NSCLC-FDG-PET,PET,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:Adrenal-ACC-Ki67-Seg,Adrenal-ACC-Ki67-Seg,mixed_or_unknown,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:Anti-PD-1_Lung,Anti-PD-1_Lung,mixed_or_unknown,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:B-mode-and-CEUS-Liver,B-mode-and-CEUS-Liver,mixed_or_unknown,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:BREAST-DIAGNOSIS,BREAST-DIAGNOSIS,mixed_or_unknown,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:CC-Tumor-Heterogeneity,CC-Tumor-Heterogeneity,mixed_or_unknown,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:CT COLONOGRAPHY,CT COLONOGRAPHY,CT,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:CT Lymph Nodes,CT Lymph Nodes,CT,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:CT-Phantom4Radiomics,CT-Phantom4Radiomics,CT,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:CT4Harmonization-Multicentric,CT4Harmonization-Multicentric,CT,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
tcia:CTpred-Sunitinib-panNET,CTpred-Sunitinib-panNET,CT,imaging_research,varies_by_collection,TCIA Data Usage Policy / collection-specific,medium,https://www.cancerimagingarchive.net/,T041 TCIA collection; NBIA list; landing search by name
physionet:mimic-ext-mimic-cxr-vqa,"MIMIC-Ext-MIMIC-CXR-VQA: A Complex, Diverse, And Large-Scale Visual Question Answering Dataset for Chest X-ray Images",multimodal_or_signal,clinical_or_physiologic_research,varies,PhysioNet Credentialed Health Data License 1.5.0,high,https://physionet.org/content/mimic-ext-mimic-cxr-vqa/1.0.0/,"T042 PhysioNet API; topics=multimodal,question answering,radiology,machine learning,deep learning,electronic health records,evaluation,benchmark,chest x-ray,visual question answering; score_hint=11; abstract_snip= We introduce MIMIC-Ext- MIMIC-CXR-VQA  (i.e., Extended from MIMIC database), a complex, diverse, and large-scale dataset designed for Visual Question Answering (VQA) tasks within the medical domain, "
